vessel,form_code,year,month,status,dept,pic,ket,submitted_at,updated_at
Selaras,040 C,2026,11,S,Engine,CE,BLN,,
Selaras,040 C,2026,12,S,Engine,CE,BLN,,
Selaras,041,2026,1,C,Engine,2E,BLN,,
Selaras,041,2026,2,C,Engine,2E,BLN,,
Selaras,041,2026,3,C,Engine,2E,BLN,,
Selaras,041,2026,4,C,Engine,2E,BLN,,
Selaras,041,2026,5,C,Engine,2E,BLN,,
Selaras,041,2026,6,C,Engine,2E,BLN,,
Selaras,041,2026,7,S,Engine,2E,BLN,,
Selaras,041,2026,8,S,Engine,2E,BLN,,
Selaras,041,2026,9,S,Engine,2E,BLN,,
Selaras,041,2026,10,S,Engine,2E,BLN,,
Selaras,041,2026,11,S,Engine,2E,BLN,,
Selaras,041,2026,12,S,Engine,2E,BLN,,
Selaras,042,2026,1,C,Engine,2E,BLN,,
Selaras,042,2026,3,C,Engine,2E,BLN,,
Selaras,042,2026,4,C,Engine,2E,BLN,,
Selaras,042,2026,5,C,Engine,2E,BLN,,
Selaras,042,2026,6,C,Engine,2E,BLN,,
Selaras,042,2026,7,S,Engine,2E,BLN,,
Selaras,042,2026,8,S,Engine,2E,BLN,,
Selaras,042,2026,9,S,Engine,2E,BLN,,
Selaras,042,2026,10,S,Engine,2E,BLN,,
Selaras,042,2026,11,S,Engine,2E,BLN,,
Selaras,042,2026,12,S,Engine,2E,BLN,,
Selaras,043,2026,1,C,Engine,2E,BLN,,
Selaras,043,2026,3,C,Engine,2E,BLN,,
Selaras,043,2026,4,C,Engine,2E,BLN,,
Selaras,043,2026,5,C,Engine,2E,BLN,,
Selaras,043,2026,6,C,Engine,2E,BLN,,
Selaras,043,2026,7,S,Engine,2E,BLN,,
Selaras,043,2026,8,S,Engine,2E,BLN,,
Selaras,043,2026,9,S,Engine,2E,BLN,,
Selaras,043,2026,10,S,Engine,2E,BLN,,
Selaras,043,2026,11,S,Engine,2E,BLN,,
Selaras,043,2026,12,S,Engine,2E,BLN,,
Selaras,044,2026,1,C,Engine,2E,BLN,,
Selaras,044,2026,2,C,Engine,2E,BLN,,
Selaras,044,2026,3,C,Engine,2E,BLN,,
Selaras,044,2026,4,C,Engine,2E,BLN,,
Selaras,044,2026,5,C,Engine,2E,BLN,,
Selaras,044,2026,6,C,Engine,2E,BLN,,
Selaras,044,2026,7,S,Engine,2E,BLN,,
Selaras,044,2026,8,S,Engine,2E,BLN,,
Selaras,044,2026,9,S,Engine,2E,BLN,,
Selaras,044,2026,10,S,Engine,2E,BLN,,
Selaras,044,2026,11,S,Engine,2E,BLN,,
Selaras,044,2026,12,S,Engine,2E,BLN,,
Selaras,045,2026,1,C,Engine,2E,BLN,,
Selaras,045,2026,3,S,Engine,2E,BLN,,
Selaras,045,2026,4,C,Engine,2E,BLN,,
Selaras,045,2026,5,C,Engine,2E,BLN,,
Selaras,045,2026,6,C,Engine,2E,BLN,,
Selaras,045,2026,7,S,Engine,2E,BLN,,
Selaras,045,2026,8,S,Engine,2E,BLN,,
Selaras,045,2026,9,S,Engine,2E,BLN,,
Selaras,045,2026,10,S,Engine,2E,BLN,,
Selaras,045,2026,11,S,Engine,2E,BLN,,
Selaras,045,2026,12,S,Engine,2E,BLN,,
Selaras,046,2026,1,C,Engine,2E,Voy,,
Selaras,046,2026,3,C,Engine,2E,Voy,,
Selaras,046,2026,4,C,Engine,2E,Voy,,
Selaras,046,2026,5,C,Engine,2E,Voy,,
Selaras,046,2026,6,C,Engine,2E,Voy,,
Selaras,046,2026,7,S,Engine,2E,Voy,,
Selaras,046,2026,8,S,Engine,2E,Voy,,
Selaras,046,2026,9,S,Engine,2E,Voy,,
Selaras,046,2026,10,S,Engine,2E,Voy,,
Selaras,046,2026,11,S,Engine,2E,Voy,,
Selaras,046,2026,12,S,Engine,2E,Voy,,
Selaras,048,2026,6,C,Engine,2E,SMT,,
Selaras,048,2026,12,S,Engine,2E,SMT,,
Selaras,059 A,2026,1,C,Deck,CO,BLN,,
Selaras,059 A,2026,2,C,Deck,CO,BLN,,
Selaras,059 A,2026,3,C,Deck,CO,BLN,,
Selaras,059 A,2026,4,C,Deck,CO,BLN,,
Selaras,059 A,2026,5,C,Deck,CO,BLN,,
Selaras,059 A,2026,6,C,Deck,CO,BLN,,
Selaras,059 A,2026,7,S,Deck,CO,BLN,,
Selaras,059 A,2026,8,S,Deck,CO,BLN,,
Selaras,059 A,2026,9,S,Deck,CO,BLN,,
Selaras,059 A,2026,10,S,Deck,CO,BLN,,
Selaras,059 A,2026,11,S,Deck,CO,BLN,,
Selaras,059 A,2026,12,S,Deck,CO,BLN,,
Selaras,059 B,2026,3,C,Engine,CE,TRW,,
Selaras,059 B,2026,6,C,Engine,CE,TRW,,
Selaras,059 B,2026,9,S,Engine,CE,TRW,,
Selaras,059 B,2026,12,S,Engine,CE,TRW,,
Selaras,059 C,2026,1,C,Deck,CO,BLN,,
Selaras,059 C,2026,2,C,Deck,CO,BLN,,
Selaras,059 C,2026,3,C,Deck,CO,BLN,,
Selaras,059 C,2026,4,C,Deck,CO,BLN,,
Selaras,059 C,2026,5,C,Deck,CO,BLN,,
Selaras,059 C,2026,6,C,Deck,CO,BLN,,
Selaras,059 C,2026,7,S,Deck,CO,BLN,,
Selaras,059 C,2026,8,S,Deck,CO,BLN,,
Selaras,059 C,2026,9,S,Deck,CO,BLN,,
Selaras,059 C,2026,10,S,Deck,CO,BLN,,
Selaras,059 C,2026,11,S,Deck,CO,BLN,,
Selaras,059 C,2026,12,S,Deck,CO,BLN,,
Selaras,059 D,2026,1,C,Engine,2E,BLN,,
Selaras,059 D,2026,2,S,Engine,2E,BLN,,
Selaras,059 D,2026,3,S,Engine,2E,BLN,,
Selaras,059 D,2026,4,C,Engine,2E,BLN,,
Selaras,059 D,2026,5,C,Engine,2E,BLN,,
Selaras,059 D,2026,6,C,Engine,2E,BLN,,
Selaras,059 D,2026,7,S,Engine,2E,BLN,,
Selaras,059 D,2026,8,S,Engine,2E,BLN,,
Selaras,059 D,2026,9,S,Engine,2E,BLN,,
Selaras,059 D,2026,10,S,Engine,2E,BLN,,
Selaras,059 D,2026,11,S,Engine,2E,BLN,,
Selaras,059 D,2026,12,S,Engine,2E,BLN,,
Selaras,059 E,2026,1,C,Engine,CE,BLN,,
Selaras,059 E,2026,2,S,Engine,CE,BLN,,
Selaras,059 E,2026,3,S,Engine,CE,BLN,,
Selaras,059 E,2026,4,S,Engine,CE,BLN,,
Selaras,059 E,2026,5,C,Engine,CE,BLN,,
Selaras,059 E,2026,6,C,Engine,CE,BLN,,
Selaras,059 E,2026,7,S,Engine,CE,BLN,,
Selaras,059 E,2026,8,S,Engine,CE,BLN,,
Selaras,059 E,2026,9,S,Engine,CE,BLN,,
Selaras,059 E,2026,10,S,Engine,CE,BLN,,
Selaras,059 E,2026,11,S,Engine,CE,BLN,,
Selaras,059 E,2026,12,S,Engine,CE,BLN,,
Selaras,059 F,2026,1,C,Deck,CO,BLN,,
Selaras,059 F,2026,2,C,Deck,CO,BLN,,
Selaras,059 F,2026,3,C,Deck,CO,BLN,,
Selaras,059 F,2026,4,C,Deck,CO,BLN,,
Selaras,059 F,2026,5,C,Deck,CO,BLN,,
Selaras,059 F,2026,6,C,Deck,CO,BLN,,
Selaras,059 F,2026,7,S,Deck,CO,BLN,,
Selaras,059 F,2026,8,S,Deck,CO,BLN,,
Selaras,059 F,2026,9,S,Deck,CO,BLN,,
Selaras,059 F,2026,10,S,Deck,CO,BLN,,
Selaras,059 F,2026,11,S,Deck,CO,BLN,,
Selaras,059 F,2026,12,S,Deck,CO,BLN,,
Selaras,059 G,2026,3,C,Deck,Master,TRW,,
Selaras,059 G,2026,6,C,Deck,Master,TRW,,
Selaras,059 G,2026,9,S,Deck,Master,TRW,,
Selaras,059 G,2026,12,S,Deck,Master,TRW,,
Selaras,059 H,2026,3,C,Deck,CO,TRW,,
Selaras,059 H,2026,6,C,Deck,CO,TRW,,
Selaras,059 H,2026,9,S,Deck,CO,TRW,,
Selaras,059 H,2026,12,S,Deck,CO,TRW,,
Selaras,059 I,2026,1,C,Engine,2E,BLN,,
Selaras,059 I,2026,2,S,Engine,2E,BLN,,
Selaras,059 I,2026,3,S,Engine,2E,BLN,,
Selaras,059 I,2026,4,C,Engine,2E,BLN,,
Selaras,059 I,2026,5,C,Engine,2E,BLN,,
Selaras,059 I,2026,6,C,Engine,2E,BLN,,
Selaras,059 I,2026,7,S,Engine,2E,BLN,,
Selaras,059 I,2026,8,S,Engine,2E,BLN,,
Selaras,059 I,2026,9,S,Engine,2E,BLN,,
Selaras,059 I,2026,10,S,Engine,2E,BLN,,
Selaras,059 I,2026,11,S,Engine,2E,BLN,,
Selaras,059 I,2026,12,S,Engine,2E,BLN,,
Selaras,059 J,2026,3,S,Engine,2E,TRW,,
Selaras,059 J,2026,6,C,Engine,2E,TRW,,
Selaras,059 J,2026,9,S,Engine,2E,TRW,,
Selaras,059 J,2026,12,S,Engine,2E,TRW,,
Selaras,060,2026,6,C,Deck,Master,SMT,,
Selaras,060,2026,12,S,Deck,Master,SMT,,
Selaras,061,2026,1,C,Deck,CO,Weekly,,
Selaras,061,2026,2,C,Deck,CO,Weekly,,
Selaras,061,2026,3,C,Deck,CO,Weekly,,
Selaras,061,2026,4,C,Deck,CO,Weekly,,
Selaras,061,2026,5,C,Deck,CO,Weekly,,
Selaras,061,2026,6,C,Deck,CO,Weekly,,
Selaras,061,2026,7,S,Deck,CO,Weekly,,
Selaras,061,2026,8,S,Deck,CO,Weekly,,
