vessel,form_code,year,month,status,dept,pic,ket,submitted_at,updated_at
Prakarsa,059 D,2026,4,C,Engine,2E,BLN,,
Prakarsa,059 D,2026,5,C,Engine,2E,BLN,,
Prakarsa,059 D,2026,6,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,7,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,8,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,9,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,10,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,11,S,Engine,2E,BLN,,
Prakarsa,059 D,2026,12,S,Engine,2E,BLN,,
Prakarsa,059 E,2026,1,C,Engine,CE,BLN,,
Prakarsa,059 E,2026,2,C,Engine,CE,BLN,,
Prakarsa,059 E,2026,3,C,Engine,CE,BLN,,
Prakarsa,059 E,2026,4,C,Engine,CE,BLN,,
Prakarsa,059 E,2026,5,C,Engine,CE,BLN,,
Prakarsa,059 E,2026,6,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,7,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,8,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,9,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,10,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,11,S,Engine,CE,BLN,,
Prakarsa,059 E,2026,12,S,Engine,CE,BLN,,
Prakarsa,059 F,2026,1,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,2,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,3,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,4,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,5,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,6,C,Deck,CO,BLN,,
Prakarsa,059 F,2026,7,S,Deck,CO,BLN,,
Prakarsa,059 F,2026,8,S,Deck,CO,BLN,,
Prakarsa,059 F,2026,9,S,Deck,CO,BLN,,
Prakarsa,059 F,2026,10,S,Deck,CO,BLN,,
Prakarsa,059 F,2026,11,S,Deck,CO,BLN,,
Prakarsa,059 F,2026,12,S,Deck,CO,BLN,,
Prakarsa,059 G,2026,3,C,Deck,Master,TRW,,
Prakarsa,059 G,2026,6,C,Deck,Master,TRW,,
Prakarsa,059 G,2026,9,S,Deck,Master,TRW,,
Prakarsa,059 G,2026,12,S,Deck,Master,TRW,,
Prakarsa,059 H,2026,3,C,Deck,CO,TRW,,
Prakarsa,059 H,2026,6,C,Deck,CO,TRW,,
Prakarsa,059 H,2026,9,S,Deck,CO,TRW,,
Prakarsa,059 H,2026,12,S,Deck,CO,TRW,,
Prakarsa,059 I,2026,1,C,Engine,2E,BLN,,
Prakarsa,059 I,2026,2,C,Engine,2E,BLN,,
Prakarsa,059 I,2026,3,C,Engine,2E,BLN,,
Prakarsa,059 I,2026,4,C,Engine,2E,BLN,,
Prakarsa,059 I,2026,5,C,Engine,2E,BLN,,
Prakarsa,059 I,2026,6,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,7,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,8,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,9,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,10,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,11,S,Engine,2E,BLN,,
Prakarsa,059 I,2026,12,S,Engine,2E,BLN,,
Prakarsa,059 J,2026,3,C,Engine,2E,TRW,,
Prakarsa,059 J,2026,6,C,Engine,2E,TRW,,
Prakarsa,059 J,2026,9,S,Engine,2E,TRW,,
Prakarsa,059 J,2026,12,S,Engine,2E,TRW,,
Prakarsa,060,2026,6,C,Deck,Master,SMT,,
Prakarsa,060,2026,12,S,Deck,Master,SMT,,
Prakarsa,061,2026,1,C,Deck,CO,Weekly,,
Prakarsa,061,2026,2,C,Deck,CO,Weekly,,
Prakarsa,061,2026,3,C,Deck,CO,Weekly,,
Prakarsa,061,2026,4,C,Deck,CO,Weekly,,
Prakarsa,061,2026,5,C,Deck,CO,Weekly,,
Prakarsa,061,2026,6,C,Deck,CO,Weekly,,
Prakarsa,061,2026,7,S,Deck,CO,Weekly,,
Prakarsa,061,2026,8,S,Deck,CO,Weekly,,
Prakarsa,061,2026,9,S,Deck,CO,Weekly,,
Prakarsa,061,2026,10,S,Deck,CO,Weekly,,
Prakarsa,061,2026,11,S,Deck,CO,Weekly,,
Prakarsa,061,2026,12,S,Deck,CO,Weekly,,
Prakarsa,073B,2026,1,C,Engine,CE,Voy,,
Prakarsa,073B,2026,2,C,Engine,CE,Voy,,
Prakarsa,073B,2026,3,C,Engine,CE,Voy,,
Prakarsa,073B,2026,4,C,Engine,CE,Voy,,
Prakarsa,073B,2026,5,C,Engine,CE,Voy,,
Prakarsa,073B,2026,6,C,Engine,CE,Voy,,
Prakarsa,073B,2026,7,S,Engine,CE,Voy,,
Prakarsa,073B,2026,8,S,Engine,CE,Voy,,
Prakarsa,073B,2026,9,S,Engine,CE,Voy,,
Prakarsa,073B,2026,10,S,Engine,CE,Voy,,
Prakarsa,073B,2026,11,S,Engine,CE,Voy,,
Prakarsa,073B,2026,12,S,Engine,CE,Voy,,
Prakarsa,075,2026,1,C,Engine,Master,Weekly,,
Prakarsa,075,2026,2,C,Engine,Master,Weekly,,
Prakarsa,075,2026,3,C,Engine,Master,Weekly,,
Prakarsa,075,2026,4,C,Engine,Master,Weekly,,
Prakarsa,075,2026,5,C,Engine,Master,Weekly,,
Prakarsa,075,2026,6,S,Engine,Master,Weekly,,
Prakarsa,075,2026,7,S,Engine,Master,Weekly,,
Prakarsa,075,2026,8,S,Engine,Master,Weekly,,
Prakarsa,075,2026,9,S,Engine,Master,Weekly,,
Prakarsa,075,2026,10,S,Engine,Master,Weekly,,
Prakarsa,075,2026,11,S,Engine,Master,Weekly,,
Prakarsa,075,2026,12,S,Engine,Master,Weekly,,
Prakarsa,084 A,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 A,2026,12,S,Deck,CO,SMT,,
Prakarsa,084 B,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 B,2026,12,S,Deck,CO,SMT,,
Prakarsa,084 C,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 C,2026,12,S,Deck,CO,SMT,,
Prakarsa,084 D,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 D,2026,12,S,Deck,CO,SMT,,
Prakarsa,084 E,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 E,2026,12,S,Deck,CO,SMT,,
Prakarsa,084 F,2026,6,C,Deck,CO,SMT,,
Prakarsa,084 F,2026,12,S,Deck,CO,SMT,,
Prakarsa,093A,2026,1,C,Deck,Master,BLN,,
Prakarsa,093A,2026,2,C,Deck,Master,BLN,,
Prakarsa,093A,2026,3,C,Deck,Master,BLN,,
Prakarsa,093A,2026,4,C,Deck,Master,BLN,,
Prakarsa,093A,2026,5,C,Deck,Master,BLN,,
Prakarsa,093A,2026,6,C,Deck,Master,BLN,,
Prakarsa,093A,2026,7,S,Deck,Master,BLN,,
Prakarsa,093A,2026,8,S,Deck,Master,BLN,,
Prakarsa,093A,2026,9,S,Deck,Master,BLN,,
Prakarsa,093A,2026,10,S,Deck,Master,BLN,,
Prakarsa,093A,2026,11,S,Deck,Master,BLN,,
Prakarsa,093A,2026,12,S,Deck,Master,BLN,,
Prakarsa,096 B,2026,1,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,2,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,3,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,4,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,5,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,6,C,Engine,CO,BLN,,
Prakarsa,096 B,2026,7,S,Engine,CO,BLN,,
Prakarsa,096 B,2026,8,S,Engine,CO,BLN,,
Prakarsa,096 B,2026,9,S,Engine,CO,BLN,,
Prakarsa,096 B,2026,10,S,Engine,CO,BLN,,
Prakarsa,096 B,2026,11,S,Engine,CO,BLN,,
Prakarsa,096 B,2026,12,S,Engine,CO,BLN,,
Pratama,009,2026,1,C,Deck,Master,BLN,,
Pratama,009,2026,2,C,Deck,Master,BLN,,
Pratama,009,2026,3,C,Deck,Master,BLN,,
Pratama,009,2026,4,C,Deck,Master,BLN,,
Pratama,009,2026,5,C,Deck,Master,BLN,,
Pratama,009,2026,6,C,Deck,Master,BLN,,
Pratama,009,2026,7,S,Deck,Master,BLN,,
Pratama,009,2026,8,S,Deck,Master,BLN,,
Pratama,009,2026,9,S,Deck,Master,BLN,,
Pratama,009,2026,10,S,Deck,Master,BLN,,
Pratama,009,2026,11,S,Deck,Master,BLN,,
Pratama,009,2026,12,S,Deck,Master,BLN,,
Pratama,018,2026,1,C,Deck,CO,BLN,,
Pratama,018,2026,2,C,Deck,CO,BLN,,
Pratama,018,2026,3,C,Deck,CO,BLN,,
Pratama,018,2026,4,C,Deck,CO,BLN,,
Pratama,018,2026,5,C,Deck,CO,BLN,,
Pratama,018,2026,6,C,Deck,CO,BLN,,
Pratama,018,2026,7,S,Deck,CO,BLN,,
Pratama,018,2026,8,S,Deck,CO,BLN,,
Pratama,018,2026,9,S,Deck,CO,BLN,,
Pratama,018,2026,10,S,Deck,CO,BLN,,
Pratama,018,2026,11,S,Deck,CO,BLN,,
Pratama,018,2026,12,S,Deck,CO,BLN,,
Pratama,022,2026,1,C,Deck,Master,BLN,,
Pratama,022,2026,2,C,Deck,Master,BLN,,
Pratama,022,2026,3,C,Deck,Master,BLN,,
